month,total.user,total.anonymous,timeRange.start,timeRange.end
2019-04-01T00:00:00.000Z,90985,13084,2019-04-01T00:00:00.000Z,2019-05-01T00:00:00.000Z
2019-05-01T00:00:00.000Z,108116,13844,2019-05-01T00:00:00.000Z,2019-06-01T00:00:00.000Z
2019-06-01T00:00:00.000Z,100042,11494,2019-06-01T00:00:00.000Z,2019-07-01T00:00:00.000Z
2019-07-01T00:00:00.000Z,173301,11024,2019-07-01T00:00:00.000Z,2019-08-01T00:00:00.000Z
2019-08-01T00:00:00.000Z,124686,11737,2019-08-01T00:00:00.000Z,2019-09-01T00:00:00.000Z
2019-09-01T00:00:00.000Z,160816,10857,2019-09-01T00:00:00.000Z,2019-10-01T00:00:00.000Z
2019-10-01T00:00:00.000Z,175104,11489,2019-10-01T00:00:00.000Z,2019-11-01T00:00:00.000Z
2019-11-01T00:00:00.000Z,143962,12102,2019-11-01T00:00:00.000Z,2019-12-01T00:00:00.000Z
2019-12-01T00:00:00.000Z,110506,12875,2019-12-01T00:00:00.000Z,2020-01-01T00:00:00.000Z
2020-01-01T00:00:00.000Z,102337,11884,2020-01-01T00:00:00.000Z,2020-02-01T00:00:00.000Z
2020-02-01T00:00:00.000Z,92646,10358,2020-02-01T00:00:00.000Z,2020-03-01T00:00:00.000Z
2020-03-01T00:00:00.000Z,126970,10227,2020-03-01T00:00:00.000Z,2020-04-01T00:00:00.000Z
2020-04-01T00:00:00.000Z,132151,13011,2020-04-01T00:00:00.000Z,2020-05-01T00:00:00.000Z
2020-05-01T00:00:00.000Z,145368,15944,2020-05-01T00:00:00.000Z,2020-06-01T00:00:00.000Z
2020-06-01T00:00:00.000Z,121981,13535,2020-06-01T00:00:00.000Z,2020-07-01T00:00:00.000Z
2020-07-01T00:00:00.000Z,135937,13985,2020-07-01T00:00:00.000Z,2020-08-01T00:00:00.000Z
2020-08-01T00:00:00.000Z,146584,12344,2020-08-01T00:00:00.000Z,2020-09-01T00:00:00.000Z
2020-09-01T00:00:00.000Z,115506,11627,2020-09-01T00:00:00.000Z,2020-10-01T00:00:00.000Z
2020-10-01T00:00:00.000Z,119894,12407,2020-10-01T00:00:00.000Z,2020-11-01T00:00:00.000Z
2020-11-01T00:00:00.000Z,110823,13214,2020-11-01T00:00:00.000Z,2020-12-01T00:00:00.000Z
2020-12-01T00:00:00.000Z,136396,13786,2020-12-01T00:00:00.000Z,2021-01-01T00:00:00.000Z
2021-01-01T00:00:00.000Z,139745,14544,2021-01-01T00:00:00.000Z,2021-02-01T00:00:00.000Z
2021-02-01T00:00:00.000Z,107321,13080,2021-02-01T00:00:00.000Z,2021-03-01T00:00:00.000Z
2021-03-01T00:00:00.000Z,110062,14088,2021-03-01T00:00:00.000Z,2021-04-01T00:00:00.000Z
2021-04-01T00:00:00.000Z,108401,12944,2021-04-01T00:00:00.000Z,2021-05-01T00:00:00.000Z
2021-05-01T00:00:00.000Z,108759,14741,2021-05-01T00:00:00.000Z,2021-06-01T00:00:00.000Z
